run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.train.loss,train.grad_norm,train.lr,train.rollout_mean_tokens,train.divergence,train.beta,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,active_adapter
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,17,task306_jeopardy_answer_generation_double,25,0.13182249456644057,1.227064858108653,0.00019999999999999998,5.76,jsd,0.5,default,0.4,0.1722222222222222,0.5,0.22777777777777775,0.18235294117647058,0.13529411764705881,18,0.3056366157389365,0.29377293154834067,0.29589922213079917,0.38852072172204516,0.0,0.1722222222222222,0.22777777777777775,0.18552036199095023,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,18,task298_storycloze_correct_end_classification,25,0.04230535582602897,1.4480169932066296,0.00019999999999999998,2.0,jsd,0.5,default,1.0,0.3,1.0,0.3473684210526315,0.08888888888888889,0.05555555555555555,19,0.40396411108777713,0.3980668427663355,0.3952649393738115,0.4503788726837322,0.0,0.3,0.3473684210526315,0.2857142857142857,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,19,task1730_personachat_choose_next,25,0.043984306864440444,0.6567445775020161,0.00019999999999999998,15.68,jsd,0.5,default,0.7,0.24,0.7,0.29000000000000004,0.16842105263157894,0.13157894736842105,20,0.35214914342947584,0.350760232789455,0.34303260613464764,0.40209220196834755,0.0,0.24,0.29000000000000004,0.24066390041493776,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,20,task864_asdiv_singleop_question_answering,25,0.03453363137785345,0.672089047909592,0.00019999999999999998,7.7,jsd,0.5,default,0.0,0.2523809523809524,0.0,0.2761904761904762,0.135,0.12500000000000003,21,0.34972907163976635,0.38415471001036683,0.3395417683569784,0.38766499273838606,0.0,0.2523809523809524,0.2761904761904762,0.23107569721115537,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,21,task294_storycommonsense_motiv_text_generation,29,0.11359957592754528,0.7935780135542705,0.00019999999999999993,8.052631578947368,jsd,0.5,default,0.16666666666666666,0.25303030303030305,0.16666666666666666,0.28484848484848485,0.12380952380952379,0.10476190476190476,22,0.3557302125114419,0.3837648513196577,0.34874297908776697,0.39503880894080007,0.0,0.25303030303030305,0.28484848484848485,0.23954372623574144,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,22,task573_air_dialogue_classification,25,0.02440268784703221,0.7590488986267117,0.00019999999999999998,2.72,jsd,0.5,default,1.0,0.3086956521739131,1.0,0.3601449275362319,0.11363636363636363,0.07727272727272728,23,0.4134890163399121,0.43452509331005945,0.4094116386638317,0.4555971082224569,0.0,0.3086956521739131,0.3601449275362319,0.3076923076923077,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,23,task082_babi_t1_single_supporting_fact_question_generation,77,0.01444565232649639,0.2550953517920568,0.0002000000000000002,5.0064935064935066,jsd,0.5,default,0.3125,0.2831597222222222,0.3125,0.3282986111111111,0.14347826086956522,0.11304347826086959,24,0.4379658900894737,0.45319152046596195,0.4326430946170976,0.47597237692953787,0.0,0.2831597222222222,0.3282986111111111,0.28524590163934427,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,24,task1729_personachat_generate_next,25,0.11142684057354928,0.6949251715294693,0.00019999999999999998,18.78,jsd,0.5,default,0.0,0.26849999999999996,0.0,0.3125,0.14097222222222225,0.1111111111111111,25,0.4179724197885929,0.43923393546335465,0.41114694626097265,0.45421336286849484,0.0,0.26849999999999996,0.3125,0.273015873015873,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,25,task1600_smcalflow_sentence_generation,25,0.1088483427464962,0.6641711503741311,0.00019999999999999998,12.16,jsd,0.5,default,0.0,0.2754807692307692,0.0,0.2940705128205128,0.11733333333333335,0.11333333333333334,26,0.4108482588114407,0.43069715221789223,0.4043307572196361,0.4481335429972978,0.0,0.2754807692307692,0.2940705128205128,0.25846153846153846,0,0.0,0.0,0.0,0.0,default,default
20260820_174143_v1_opsd_instrdialogpp,baseline,opsd,26,task1427_country_region_in_world,25,0.03707593077793717,0.6261215329578479,0.00019999999999999998,3.38,jsd,0.5,default,0.9,0.29058641975308636,0.9,0.33132716049382716,0.12115384615384617,0.09358974358974362,27,0.43745228967005567,0.4576608416432861,0.43118553770394646,0.4655609840267702,0.0,0.29058641975308636,0.33132716049382716,0.28955223880597014,0,0.0,0.0,0.0,0.0,default,default
