run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.train.loss,train.grad_norm,train.lr,train.rollout_mean_tokens,train.divergence,train.beta,train.teacher_format_constraint,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,active_adapter
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,0,task1549_wiqa_answer_generation_missing_step,25,0.034169657123275105,0.625433640457041,0.00019999999999999998,6.46,jsd,0.5,True,default,0.6,0.6,0.6,0.6,0.0,0.0,1,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.8519842099789747,0.0,0.6,0.6,0.6,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,1,task766_craigslist_bargains_classification,25,0.08013840493746102,0.6206515307952319,0.00019999999999999998,2.28,jsd,0.5,True,default,0.5,0.25,0.5,0.6,0.6,0.0,2,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6899802624737182,0.0,0.25,0.6,0.6,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,2,task1714_convai3_sentence_generation,25,0.2170385193824768,1.0224197245683895,0.00019999999999999998,21.0,jsd,0.5,True,default,0.0,0.09999999999999999,0.0,0.26666666666666666,0.4,0.19999999999999998,3,0.39906522132837924,0.3969836644836645,0.3923581506213086,0.48145351773551615,0.0,0.09999999999999999,0.26666666666666666,0.26666666666666666,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,3,task611_mutual_multi_turn_dialogue,25,0.07760854795575142,0.6312240108275021,0.00019999999999999998,28.42,jsd,0.5,True,default,0.0,0.0,0.1,0.15,0.3666666666666667,0.2333333333333333,4,0.16139038575803283,0.23281711344211345,0.1564492092874446,0.2569596230587034,0.0,0.0,0.15,0.15,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,4,task927_yelp_negative_to_positive_style_transfer,100,0.09256094440817833,0.538688012187405,0.0001999999999999999,14.18,jsd,0.5,True,default,0.0,0.1,0.0,0.15999999999999998,0.15,0.15,5,0.21454155614561618,0.23691900623885914,0.21070835993006706,0.26821575114526963,0.0,0.1,0.15999999999999998,0.1,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,5,task1500_dstc3_classification,25,0.09176604896783828,0.7366674601525365,0.00019999999999999998,8.0,jsd,0.5,True,default,0.1,0.13333333333333333,0.4,0.18333333333333335,0.1,0.13999999999999999,6,0.23800282111345356,0.2965674911508244,0.23475431454236637,0.2918769713112376,0.0,0.13333333333333333,0.18333333333333335,0.12222222222222222,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,6,task459_matres_static_classification,25,0.024663368128240108,0.17746790736820459,0.00019999999999999998,2.02,jsd,0.5,True,default,0.2,0.08571428571428573,0.2,0.18571428571428572,0.19999999999999998,0.13333333333333333,7,0.2183915233172692,0.22707957320457317,0.21413453406995736,0.3199136347667695,0.0,0.08571428571428573,0.18571428571428572,0.13,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,7,task379_agnews_topic_classification,25,0.08151789787923917,0.8395098814039881,0.00019999999999999998,2.98,jsd,0.5,True,default,0.5,0.26249999999999996,0.5,0.2875,0.04285714285714285,0.05714285714285713,8,0.31115126421851286,0.3182566082165013,0.30743256055609963,0.39911981311839356,0.0,0.26249999999999996,0.2875,0.20909090909090908,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,8,task1590_diplomacy_text_generation,25,0.09502445623278617,0.5454046033733051,0.00019999999999999998,23.24,jsd,0.5,True,default,0.0,0.25555555555555554,0.0,0.27777777777777785,0.024999999999999994,0.03749999999999999,9,0.2992982744249276,0.3148161436445106,0.2963007279664278,0.36996123445302304,0.0,0.25555555555555554,0.27777777777777785,0.20833333333333334,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,9,task347_hybridqa_incorrect_answer_generation,25,0.1606999984383583,1.0460734073000046,0.00019999999999999998,7.54,jsd,0.5,True,default,0.0,0.22999999999999998,0.0,0.25,0.03333333333333333,0.044444444444444446,10,0.2688951417682403,0.2797429447983152,0.26494233158887376,0.3779906593158926,0.0,0.22999999999999998,0.25,0.19230769230769232,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,10,task639_multi_woz_user_utterance_generation,25,0.12292185872793197,0.5531483011038458,0.00019999999999999998,14.08,jsd,0.5,True,default,0.0,0.17272727272727273,0.0,0.1818181818181818,0.06999999999999999,0.09,11,0.23195666699426865,0.24326166873325217,0.22737573551370108,0.31317215091739187,0.0,0.17272727272727273,0.1818181818181818,0.14285714285714285,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,11,task1360_numer_sense_multiple_choice_qa_generation,25,0.34603771068155764,1.3580811926290572,0.00019999999999999998,2.32,jsd,0.5,True,default,0.2,0.125,0.2,0.17500000000000002,0.11818181818181818,0.09090909090909091,12,0.2153753107521711,0.20868065491440102,0.21013197689779747,0.37731823625437355,0.0,0.125,0.17500000000000002,0.14,0,0.0,0.0,0.0,0.0,default,default
v1_teacher_enhance_opsd_instrdialogpp_seed456,baseline,opsd,12,task1151_swap_max_min,25,0.02737489774823189,0.21897203401396356,0.00019999999999999998,59.04,jsd,0.5,True,default,0.0,0.1692307692307692,0.0,0.1769230769230769,0.049999999999999996,0.06666666666666667,13,0.2881596630118485,0.28391076045342684,0.27871650433484485,0.4019855138274955,0.0,0.1692307692307692,0.1769230769230769,0.14375,0,0.0,0.0,0.0,0.0,default,default
