run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.mean_batch_acc,train.train.loss,train.train.answer_token_acc,train.num_total_tokens,train.num_supervised_tokens,train.grad_norm,train.lr,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,active_adapter
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,0,task1590_diplomacy_text_generation,25,0.0,3.498429741859436,0.33104708468003463,15798,1358,5.630375517243038,0.00019999999999999998,default,0.0,0.0,0.0,0.0,0.0,0.0,1,0.10493831049437922,0.16460693589176562,0.08194123172710924,0.03427055861195235,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,1,task1713_convai3_sentence_generation,25,0.0,1.5854992175102234,0.6313071475026294,7512,600,5.961160915417795,0.00019999999999999998,default,0.1,0.05,0.1,0.05,0.0,0.0,2,0.28655218726148524,0.309580332807887,0.27355081806053044,0.18808883989424585,0.0,0.05,0.05,0.05,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,2,task565_circa_answer_generation,46,0.010869565217391304,2.1520377941753552,0.49128045194810577,8674,658,8.0554430476394,0.00019999999999999996,default,0.0,0.0,0.0,0.0,0.05,0.05,3,0.1534356506941861,0.18233919731202855,0.14496782464838545,0.14305641235471264,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,3,task1730_personachat_choose_next,25,0.54,0.14224235311150552,0.9588866231848082,15769,632,4.087027542263425,0.00019999999999999998,default,1.0,0.25,1.0,0.25,0.03333333333333333,0.03333333333333333,4,0.26927493272543446,0.2748683400464898,0.26704472343729446,0.29077667764050846,0.0,0.25,0.25,0.1694915254237288,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,4,task573_air_dialogue_classification,25,0.94,0.10534750960883685,0.9533333333333333,15321,86,12.198822462130764,0.00019999999999999998,default,1.0,0.38,1.0,0.38,0.04999999999999999,0.04999999999999999,5,0.3991785025359745,0.4052106950646458,0.3938172415859714,0.41022955524003724,0.0,0.38,0.38,0.2753623188405797,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,5,task294_storycommonsense_motiv_text_generation,36,0.0,2.5868585283557572,0.3987474353895923,14395,202,19.13660194251414,0.00019999999999999987,default,0.0,0.049999999999999996,0.3333333333333333,0.10555555555555556,0.36,0.36,6,0.16502582358831205,0.3299821631692976,0.15658333163634577,0.16773832071524541,0.0,0.049999999999999996,0.10555555555555556,0.08641975308641975,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,6,task1500_dstc3_classification,25,0.48,0.5027771758008748,0.8226666666666667,22728,98,12.354141130409177,0.00019999999999999998,default,0.0,0.028571428571428574,0.6,0.24761904761904763,0.31666666666666665,0.21666666666666667,7,0.16293948953744258,0.23557536582576555,0.15620756421504214,0.2564620030634978,0.0,0.028571428571428574,0.24761904761904763,0.1978021978021978,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,7,task1603_smcalflow_sentence_generation,25,0.0,2.422090320587158,0.4301330189987814,5971,580,6.28156821164807,0.00019999999999999998,default,0.1,0.025,0.1,0.06666666666666667,0.3,0.37142857142857144,8,0.1373025386625923,0.23126578363106276,0.1301806199516878,0.20229998127465906,0.0,0.025,0.06666666666666667,0.0594059405940594,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,8,task576_curiosity_dialogs_answer_generation,25,0.38,0.06053406117483973,0.984681260712791,10704,1492,1.401324720711946,0.00019999999999999998,default,0.4,0.07777777777777778,0.4,0.1259259259259259,0.25,0.3,9,0.18086386975897326,0.3068710182607374,0.17072207534604694,0.221000045383517,0.0,0.07777777777777778,0.1259259259259259,0.10810810810810811,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,9,task639_multi_woz_user_utterance_generation,25,0.0,3.0401327800750733,0.3687220993611648,5669,816,6.530976932007332,0.00019999999999999998,default,0.0,0.06000000000000001,0.0,0.12833333333333333,0.23333333333333334,0.2777777777777778,10,0.1286241120673258,0.21338785243190062,0.12255570517384767,0.19676687805198204,0.0,0.06000000000000001,0.12833333333333333,0.11570247933884298,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,10,task1714_convai3_sentence_generation,25,0.0,2.2177808475494385,0.4796798800747426,9261,422,10.368869776951732,0.00019999999999999998,default,0.0,0.018181818181818184,0.1,0.10757575757575757,0.25,0.27999999999999997,11,0.1001932366000762,0.26827131837729784,0.09266528824787823,0.10753392826712956,0.0,0.018181818181818184,0.10757575757575757,0.09923664122137404,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,11,task1501_dstc3_answer_generation,25,0.0,0.7869816638529301,0.78,21612,50,14.782835260027612,0.00019999999999999998,default,0.0,0.06666666666666667,0.9,0.2569444444444445,0.18181818181818182,0.1636363636363636,12,0.18225190182486942,0.2683364137623375,0.17262812712331807,0.22242945635599323,0.0,0.06666666666666667,0.2569444444444445,0.22695035460992907,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,12,task1729_personachat_generate_next,25,0.0,2.6965978860855104,0.40787967026624455,14237,600,5.585407729235909,0.00019999999999999998,default,0.0,0.03076923076923077,0.0,0.2525641025641026,0.19999999999999998,0.1333333333333333,13,0.13472407025076852,0.2627952148206059,0.12757766554014557,0.17881121302109212,0.0,0.03076923076923077,0.2525641025641026,0.2251655629139073,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,13,task574_air_dialogue_sentence_generation,25,0.0,2.197117772102356,0.4972907888861151,15579,651,5.412323581964646,0.00019999999999999998,default,0.0,0.0071428571428571435,0.0,0.17023809523809524,0.2076923076923077,0.19230769230769232,14,0.13842976195755755,0.26313876005962256,0.12835594840803258,0.13523605857138205,0.0,0.0071428571428571435,0.17023809523809524,0.15527950310559005,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,14,task848_pubmedqa_classification,25,0.48,0.7606217485666275,0.5,19955,50,5.975577686665633,0.00019999999999999998,default,0.6,0.12666666666666665,0.6,0.25222222222222224,0.10714285714285716,0.12142857142857144,15,0.2291615949313031,0.34825683870879887,0.22210213197420844,0.26303468725731166,0.0,0.12666666666666665,0.25222222222222224,0.22807017543859648,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,15,task611_mutual_multi_turn_dialogue,25,0.56,1.0617116004228593,0.54,16233,50,20.34269165999205,0.00019999999999999998,default,0.3,0.15625,0.6,0.30520833333333336,0.10666666666666667,0.1,16,0.25660070904484555,0.3582161071495352,0.2512171499661047,0.2907534137955483,0.0,0.15625,0.30520833333333336,0.27624309392265195,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,16,task766_craigslist_bargains_classification,25,0.22,0.25857209775596857,0.9,20582,50,13.359224179184718,0.00019999999999999998,default,0.2,0.1,0.8,0.26960784313725494,0.1625,0.1625,17,0.1699815471714507,0.2935627699804084,0.16370295512140134,0.19130986917568504,0.0,0.1,0.26960784313725494,0.24607329842931938,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,17,task1384_deal_or_no_dialog_classification,25,0.0,0.46519912365823984,0.84,6943,50,8.150317646201197,0.00019999999999999998,default,0.0,0.12222222222222223,0.8,0.31574074074074077,0.12941176470588237,0.14117647058823532,18,0.21265565410310233,0.296080601340716,0.2027349612983766,0.26524302603781597,0.0,0.12222222222222223,0.31574074074074077,0.2885572139303483,0,0.0,0.0,0.0,0.0,default,default
20260817_174950_v0_sequential_instrdialog,baseline,sequential_lora,18,task1600_smcalflow_sentence_generation,25,0.0,2.476839861869812,0.457983066698237,7436,465,7.2568811807797475,0.00019999999999999998,default,0.0,0.010526315789473684,0.0,0.23070175438596494,0.23333333333333328,0.2111111111111111,19,0.0903224519264736,0.22901876198887186,0.08693006723064207,0.11403548827447936,0.0,0.010526315789473684,0.23070175438596494,0.2132701421800948,0,0.0,0.0,0.0,0.0,default,default
