run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.train.loss,train.grad_norm,train.lr,train.rollout_mean_tokens,train.divergence,train.beta,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,active_adapter
smoke_opsd,baseline,opsd,0,task1590_diplomacy_text_generation,4,0.0818665474653244,0.4983523654774078,0.0002,29.125,jsd,0.5,default,0.0,0.0,0.0,0.0,0.0,0.0,1,0.09332980030408451,0.07927978883861236,0.08894383539180381,0.021431680468828717,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,default,default
smoke_opsd,baseline,opsd,1,task1713_convai3_sentence_generation,4,0.11703627556562424,0.8092138320504592,0.0002,10.5,jsd,0.5,default,0.0,0.0,0.0,0.0,0.0,0.0,2,0.21045769942974982,0.18687939919557567,0.20286637522883658,0.17116440902250868,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,default,default
